steps,mean 100 episode reward,% time spent exploring,reward,head,episodes
93328,-148.0,9,-167.0,2,530
93472,-147.6,9,-144.0,3,531
93643,-147.8,9,-171.0,5,532
93784,-147.7,9,-141.0,3,533
93884,-147.2,9,-100.0,8,534
94037,-147.8,9,-153.0,6,535
94184,-147.6,9,-147.0,4,536
94333,-147.1,9,-149.0,6,537
94476,-147.5,9,-143.0,3,538
94620,-147.5,9,-144.0,6,539
94766,-147.4,9,-146.0,2,540
94859,-146.8,9,-93.0,6,541
95003,-146.7,9,-144.0,5,542
95148,-146.7,9,-145.0,5,543
95299,-146.4,9,-151.0,9,544
95460,-146.0,9,-161.0,4,545
95608,-145.5,9,-148.0,6,546
95761,-145.4,9,-153.0,5,547
95908,-145.3,9,-147.0,1,548
96068,-145.4,9,-160.0,3,549
96222,-145.8,9,-154.0,3,550
96371,-145.7,9,-149.0,8,551
96515,-145.8,9,-144.0,9,552
96679,-145.9,9,-164.0,5,553
96824,-146.3,9,-145.0,5,554
96968,-146.2,9,-144.0,6,555
97114,-145.8,9,-146.0,0,556
97281,-146.0,9,-167.0,9,557
97372,-146.1,9,-91.0,7,558
97521,-146.1,9,-149.0,5,559
97673,-146.0,9,-152.0,1,560
97816,-146.0,9,-143.0,5,561
97961,-146.5,9,-145.0,6,562
98105,-147.0,9,-144.0,6,563
98212,-146.3,9,-107.0,8,564
98354,-146.2,9,-142.0,7,565
98501,-146.2,9,-147.0,5,566
98644,-145.6,9,-143.0,3,567
98789,-145.6,9,-145.0,2,568
98934,-145.6,9,-145.0,9,569
99088,-145.4,9,-154.0,9,570
99193,-144.8,9,-105.0,3,571
99341,-144.8,9,-148.0,2,572
99443,-144.9,9,-102.0,5,573
99594,-144.4,9,-151.0,4,574
99762,-144.1,9,-168.0,1,575
99849,-143.6,9,-87.0,5,576
99998,-143.5,9,-149.0,8,577
