episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
504,9,4,-200.0,-200.0,100599
505,9,3,-200.0,-200.0,100799
506,9,5,-200.0,-200.0,100999
507,9,4,-200.0,-200.0,101199
508,9,4,-200.0,-200.0,101399
509,9,5,-200.0,-200.0,101599
510,9,5,-200.0,-200.0,101799
511,9,6,-200.0,-200.0,101999
512,9,1,-200.0,-200.0,102199
513,9,7,-200.0,-200.0,102399
514,9,7,-200.0,-200.0,102599
515,9,9,-200.0,-200.0,102799
516,9,1,-200.0,-200.0,102999
517,9,7,-200.0,-200.0,103199
518,9,0,-200.0,-200.0,103399
519,9,1,-200.0,-200.0,103599
520,9,8,-200.0,-200.0,103799
521,9,7,-200.0,-200.0,103999
522,9,7,-200.0,-200.0,104199
523,9,3,-200.0,-200.0,104399
524,9,1,-200.0,-200.0,104599
525,9,9,-200.0,-200.0,104799
526,9,6,-200.0,-200.0,104999
527,9,9,-200.0,-200.0,105199
528,9,0,-200.0,-200.0,105399
529,9,0,-200.0,-200.0,105599
530,9,7,-200.0,-200.0,105799
531,9,2,-200.0,-200.0,105999
532,9,2,-200.0,-200.0,106199
533,9,6,-200.0,-200.0,106399
534,9,3,-200.0,-200.0,106599
535,9,7,-200.0,-200.0,106799
536,9,3,-200.0,-200.0,106999
537,9,6,-200.0,-200.0,107199
538,9,9,-200.0,-200.0,107399
539,9,1,-200.0,-200.0,107599
540,9,5,-200.0,-200.0,107799
541,9,9,-200.0,-200.0,107999
542,9,1,-200.0,-200.0,108199
543,9,1,-200.0,-200.0,108399
544,9,1,-200.0,-200.0,108599
545,9,8,-200.0,-200.0,108799
546,9,0,-200.0,-200.0,108999
547,9,5,-200.0,-200.0,109199
548,9,5,-200.0,-200.0,109399
549,9,0,-200.0,-200.0,109599
550,9,2,-200.0,-200.0,109799
551,9,3,-200.0,-200.0,109999
552,9,3,-200.0,-200.0,110199
553,9,5,-200.0,-200.0,110399
554,9,9,-200.0,-200.0,110599
555,9,0,-200.0,-200.0,110799
556,9,3,-200.0,-200.0,110999
557,9,5,-200.0,-200.0,111199
558,9,1,-200.0,-200.0,111399
559,9,4,-200.0,-200.0,111599
560,9,6,-200.0,-200.0,111799
561,9,0,-200.0,-200.0,111999
562,9,0,-200.0,-200.0,112199
563,9,5,-200.0,-200.0,112399
564,9,3,-200.0,-200.0,112599
565,9,0,-200.0,-200.0,112799
566,9,5,-200.0,-200.0,112999
567,9,5,-200.0,-200.0,113199
568,9,8,-200.0,-200.0,113399
569,9,5,-200.0,-200.0,113599
570,9,5,-200.0,-200.0,113799
571,9,4,-200.0,-200.0,113999
572,9,4,-200.0,-200.0,114199
573,9,6,-200.0,-200.0,114399
574,9,5,-200.0,-200.0,114599
575,9,3,-200.0,-200.0,114799
576,9,1,-200.0,-200.0,114999
577,9,5,-200.0,-200.0,115199
578,9,9,-200.0,-200.0,115399
579,9,7,-200.0,-200.0,115599
580,9,9,-200.0,-200.0,115799
581,9,1,-200.0,-200.0,115999
582,9,2,-200.0,-200.0,116199
583,9,2,-200.0,-200.0,116399
584,9,0,-200.0,-200.0,116599
585,9,4,-200.0,-200.0,116799
586,9,8,-200.0,-200.0,116999
587,9,1,-200.0,-200.0,117199
588,9,6,-200.0,-200.0,117399
589,9,5,-200.0,-200.0,117599
590,9,6,-200.0,-200.0,117799
591,9,6,-200.0,-200.0,117999
592,9,6,-200.0,-200.0,118199
593,9,9,-200.0,-200.0,118399
594,9,1,-200.0,-200.0,118599
595,9,7,-200.0,-200.0,118799
596,9,6,-200.0,-200.0,118999
597,9,5,-200.0,-200.0,119199
598,9,5,-200.0,-200.0,119399
599,9,3,-200.0,-200.0,119599
600,9,0,-200.0,-200.0,119799
601,9,3,-200.0,-200.0,119999
602,9,5,-200.0,-200.0,120199
603,9,3,-200.0,-200.0,120399
604,9,5,-200.0,-200.0,120599
605,9,5,-200.0,-200.0,120799
606,9,6,-200.0,-200.0,120999
607,9,2,-200.0,-200.0,121199
