% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
9,290,9,17050,0.0,0.027000000000000017
9,291,4,17109,0.0,0.037000000000000026
9,292,0,17168,0.0,0.05400000000000004
9,293,4,17227,0.0,0.03200000000000002
9,294,9,17286,0.0,0.022000000000000013
9,295,7,17345,0.0,0.026000000000000016
9,296,9,17404,0.0,0.025000000000000015
9,297,0,17463,0.0,0.01900000000000001
9,298,1,17522,0.0,0.03800000000000003
9,299,6,17581,0.0,0.01900000000000001
9,300,8,17640,0.0,0.04000000000000003
9,301,9,17699,0.0,0.04000000000000003
9,302,9,17758,0.0,0.03200000000000002
9,303,8,17817,0.0,0.03200000000000002
9,304,0,17876,0.0,0.04500000000000003
9,305,6,17935,0.0,0.022000000000000013
9,306,4,17994,0.0,0.035000000000000024
9,307,8,18053,0.0,0.02100000000000001
9,308,3,18112,0.0,0.01900000000000001
9,309,4,18171,0.0,0.001
9,310,9,18230,0.0,0.03000000000000002
9,311,6,18289,0.0,0.025000000000000015
9,312,3,18348,0.0,0.04500000000000003
9,313,7,18407,0.0,0.026000000000000016
9,314,9,18466,0.0,0.005
9,315,9,18525,0.0,0.037000000000000026
9,316,3,18584,0.0,0.057000000000000044
9,317,3,18643,0.0,0.04500000000000003
9,318,8,18702,0.0,0.057000000000000044
9,319,7,18761,0.0,0.05000000000000004
9,320,1,18820,0.0,0.059000000000000045
9,321,5,18879,0.0,0.0
9,322,9,18938,0.0,0.057000000000000044
9,323,6,18997,0.0,0.025000000000000015
9,324,0,19056,0.0,0.05200000000000004
9,325,3,19115,0.0,0.048000000000000036
9,326,7,19174,0.0,0.03000000000000002
9,327,5,19233,0.0,0.0
9,328,4,19292,0.0,0.023000000000000013
9,329,1,19351,0.0,0.03800000000000003
9,330,8,19410,0.0,0.057000000000000044
9,331,2,19469,0.0,0.01800000000000001
9,332,6,19528,0.0,0.03400000000000002
9,333,9,19587,0.0,0.059000000000000045
9,334,8,19646,0.0,0.05500000000000004
9,335,2,19705,0.0,0.025000000000000015
9,336,7,19764,0.0,0.03800000000000003
9,337,1,19823,0.0,0.05600000000000004
9,338,9,19882,0.0,0.036000000000000025
