episodes,reward,mean 100 episode reward,% time spent exploring,steps
207,0.04500000000000003,0.0,9,22453
208,0.02900000000000002,0.0,9,22562
209,0.03300000000000002,0.0,9,22671
210,0.06500000000000004,0.0,9,22780
211,0.08800000000000006,0.0,9,22889
212,0.05300000000000004,0.0,9,22998
213,0.09100000000000007,0.0,9,23107
214,0.002,0.0,9,23216
215,0.05500000000000004,0.0,9,23325
216,0.10100000000000008,0.0,9,23434
217,0.09300000000000007,0.0,9,23543
218,0.0,0.0,9,23652
219,0.008,0.0,9,23761
220,0.03800000000000003,0.0,9,23870
221,0.008,0.0,9,23979
222,0.03800000000000003,0.0,9,24088
223,0.0,0.0,9,24197
224,0.02000000000000001,0.0,9,24306
225,0.035000000000000024,0.0,9,24415
226,0.048000000000000036,0.0,9,24524
227,0.011000000000000003,0.0,9,24633
228,0.001,0.0,9,24742
229,0.03200000000000002,0.0,9,24851
230,0.04100000000000003,0.0,9,24960
231,0.0,0.0,9,25069
232,0.04100000000000003,0.0,9,25178
233,0.05500000000000004,0.0,9,25287
234,0.02100000000000001,0.0,9,25396
235,0.02100000000000001,0.0,9,25505
236,0.007,0.0,9,25614
237,0.005,0.0,9,25723
238,0.09500000000000007,0.0,9,25832
239,0.07800000000000006,0.0,9,25941
240,0.08500000000000006,0.0,9,26050
241,0.10500000000000008,0.0,9,26159
242,0.06200000000000005,0.0,9,26268
243,0.10200000000000008,0.0,9,26377
244,0.09600000000000007,0.0,9,26486
245,0.10300000000000008,0.0,9,26595
246,0.059000000000000045,0.0,9,26704
247,0.02000000000000001,0.0,9,26813
248,0.06300000000000004,0.0,9,26922
249,0.05200000000000004,0.0,9,27031
250,0.07500000000000005,0.0,9,27140
251,0.059000000000000045,0.0,9,27249
252,0.07800000000000006,0.0,9,27358
253,0.06600000000000004,0.0,9,27467
254,0.06800000000000005,0.0,9,27576
255,0.08300000000000006,0.0,9,27685
256,0.0,0.0,9,27794
257,0.022000000000000013,0.0,9,27903
258,0.058000000000000045,0.0,9,28012
259,0.07800000000000006,0.0,9,28121
260,0.09500000000000007,0.0,9,28230
261,0.07700000000000005,0.0,9,28339
262,0.07900000000000006,0.0,9,28448
263,0.09000000000000007,0.0,9,28557
264,0.07700000000000005,0.0,9,28666
265,0.07200000000000005,0.0,9,28775
266,0.07000000000000005,0.0,9,28884
267,0.07700000000000005,0.0,9,28993
268,0.06100000000000005,0.0,9,29102
269,0.012000000000000004,0.0,9,29211
270,0.048000000000000036,0.0,9,29320
271,0.02900000000000002,0.0,9,29429
272,0.0,0.0,9,29538
273,0.03900000000000003,0.0,9,29647
274,0.04000000000000003,0.0,9,29756
